Page #	Entry	Type	Wikidata ID	Notes	Annotator	Visited place	BB visited place	
171	Oxford	organization	Q34433		ERW			
171	Oxford	organization	Q34433		ERW			
171	Oxford	organization	Q34433		ERW			
365	Bernhard	person	Q359047		IT			
172	E. de Goncourt	organization	Q622283		IT			
172	E. de Goncourt	organization	Q622283		IT			
365	Bernhard	person	Q359047		IT			
365	Bernhard	person	Q359047		IT			
365	Bernhard	person	Q359047		IT			
366	Bernhard	person	Q359047		IT			
172	Mansfield College	organization			ERW			
172	Metaphysics	organization			ERW			
172	Metaphysics	organization			ERW			
172	Oxford	organization	Q34433		ERW			
172	Oxford	organization	Q34433		ERW			
172	Oxford	organization	Q34433		ERW			
366	Bernhard	person	Q359047		IT			
368	Bernhard	person	Q359047		IT			
368	Bernhard	person	Q359047		IT			
174	Academy	organization	Q414219		IT			
369	Bernhard	person	Q359047		IT			
369	Bernhard	person	Q359047		IT			
370	Bernhard	person	Q359047		IT			
370	Bernhard	person	Q359047		IT			
371	Bernhard	person	Q359047		IT			
175	Oxford	organization	Q34433		ERW			
175	Oxford	organization	Q34433		ERW			
371	Bernhard	person	Q359047		IT			
371	Bernhard	person	Q359047		IT			
372	Bernhard	person	Q359047		IT			
372	Bernhard	person	Q359047		IT			
373	Bernhard	person	Q359047		IT			
374	Bernhard	person	Q359047		IT			
374	Bernhard	person	Q359047		IT			
176	Met Costa	organization			ERW			
176	Pitti	location	Q29286		ERW	TRUE	FALSE	
176	Principe Amadeo	location	N/A		ERW	TRUE	FALSE	
374	Bernhard	person	Q359047		IT			
374	Bernhard	person	Q359047		IT			
375	Bernhard	person	Q359047		IT			
176	the Pazzi Chapel	organization			ERW			
177	Alinari	organization	Q644689		IT			
376	Bernhard	person	Q359047		IT			
376	Bernhard	person	Q359047		IT			
377	Bernhard	person	Q359047		IT			
377	Bernhard	person	Q359047		IT			
377	Bernhard	person	Q359047		IT			
377	Bernhard	person	Q359047		IT			
177	Ognissanti	organization	Q2778991		ERW			
177	Pitti	location	Q29286		ERW	TRUE	FALSE	
177	Primavera	art	Q549847		ERW			
177	S. Lorenzo	organization	Q573881	Florence	ERW			
378	Bernhard	person	Q359047		IT			
177	Venus	art	Q151047	Botticelli	ERW	FALSE	FALSE	
178	Academy	organization	Q10855544		IT			
379	Bernhard	person	Q359047		IT			
379	Bernhard	person	Q359047		IT			
380	Bernhard	person	Q359047		IT			
381	Bernhard	person	Q359047		IT			
382	Bernhard	person	Q359047		IT			
382	Bernhard	person	Q359047		IT			
178	Met Costa	organization			ERW			
178	S. Marco	location	Q3382259	Florence	ERW	TRUE	FALSE	
382	Bernhard	person	Q359047		IT			
179	Albergo Victoria	organization		No Wikidata	IT			
179	Arezzo	location	Q13378		IT	TRUE	TRUE	
179	Arezzo	location	Q13378		IT	TRUE	TRUE	
382	Bernhard	person	Q359047		IT			
382	Bernhard	person	Q359047		IT			
383	Bernhard	person	Q359047		IT			
383	Bernhard	person	Q359047		IT			
179	Duomo	organization	Q2263308		IT			
179	Ferrari	organization		Unspecified author	IT			
383	Bernhard	person	Q359047		IT			
383	Bernhard	person	Q359047		IT			
179	S. Francesco della Vigna	location	Q946542	Venice	ERW	TRUE	FALSE	
179	S. Maria del Pieve	location	Q1475948		ERW	TRUE	FALSE	
179	S. Maria delle Grazie	location	Q2223152	Arezzo	ERW	TRUE	FALSE	
180	Arezzo	location	Q13378		IT	TRUE	TRUE	
386	Bernhard	person	Q359047		IT			
386	Bernhard	person	Q359047		IT			
386	Bernhard	person	Q359047		IT			
387	Bernhard	person	Q359047		IT			
180	Churches	organization		Unspecified Chuch	IT			
387	Bernhard	person	Q359047		IT			
180	Duomo	organization	Q191739		IT			
180	Duomo	organization	Q191739		IT			
387	Bernhard	person	Q359047		IT			
387	Bernhard	person	Q359047		IT			
387	Bernhard	person	Q359047		IT			
388	Bernhard	person	Q359047		IT			
388	Bernhard	person	Q359047		IT			
180	S. Francesco	location	Q1677980	Arrezo	ERW	TRUE	FALSE	
180	S. Maria del Pieve	location	Q1475948		ERW	TRUE	FALSE	
180	S. Maria delle Grazie	location	Q2223152	Arezzo	ERW	TRUE	FALSE	
180	The Fountain of Youth	organization			ERW			
388	Bernhard	person	Q359047		IT			
389	Bernhard	person	Q359047		IT			
389	Bernhard	person	Q359047		IT			
389	Bernhard	person	Q359047		IT			
389	Bernhard	person	Q359047		IT			
390	Bernhard	person	Q359047		IT			
390	Bernhard	person	Q359047		IT			
390	Bernhard	person	Q359047		IT			
390	Bernhard	person	Q359047		IT			
390	Bernhard	person	Q359047		IT			
391	Bernhard	person	Q359047		IT			
391	Bernhard	person	Q359047		IT			
391	Bernhard	person	Q359047		IT			
184	Bargello	organization	Q388448		IT			
391	Bernhard	person	Q359047		IT			
391	Bernhard	person	Q359047		IT			
